Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
buncombecounty.org,,County Government,North Carolina,accepted term,"buncombe county, nc -- Note added 9/11/15 17:09",http://buncombecounty.org/,6/6/13 18:08
burkecountynd.com,,County Government,North Dakota,accepted term,"Burke County, ND -- Note added 7/18/13 17:25",http://burkecountynd.com/,6/6/13 18:08
burleighco.com,,County Government,North Dakota,accepted term,"Burleigh County, ND -- Note added 7/18/13 17:25",http://burleighco.com/,6/6/13 18:08
burnetcountytexas.org,,County Government,Texas,accepted term,"Burnet County, TX -- Note added 3/3/15 6:51",http://burnetcountytexas.org/,6/6/13 18:08
burnettcounty.com,,County Government,Wisconsin,accepted term,"Burnett County, WI -- Note added 7/25/14 5:26",http://burnettcounty.com/,6/6/13 18:08
business.centurytel.net/st.helenapj,,County Government,Louisiana,accepted term,"St. Helena Parish, La -- Note added 8/24/15 15:42",http://sthelenaparish.la.gov/,6/6/13 18:08
butlercoiowa.org,,County Government,Iowa,accepted term,"Butler County, IA -- Note added 8/25/15 20:00",http://butlercoiowa.org/,6/6/13 18:08
butlercountyohio.org,,County Government,Ohio,accepted term,"Butler County, OH -- Note added 3/10/14 16:51",http://www.butlercountyohio.org/,6/6/13 18:08
butte.sdcounties.org,,County Government,South Dakota,accepted term,"Butte County, SD -- Note added 3/21/14 19:36",http://butte.sdcounties.org/,3/21/14 19:36
buttecounty.net,,County Government,California,accepted term,"Butte County, CA -- Note added 3/21/14 19:35",https://www.buttecounty.net/,6/6/13 18:08
buttscountyga.com,,County Government,Georgia,accepted term,"Butts County, GA -- Note added 11/20/13 17:16",http://buttscountyga.com/,11/20/13 17:15
cabarruscounty.us,,County Government,North Carolina,accepted term,"Cabarrus County, NC -- Note added 8/28/13 12:12",https://www.cabarruscounty.us/Pages/default.aspx,6/6/13 18:08
cabellcounty.org,,County Government,West Virginia,accepted term,"Cabell County, WV -- Note added 7/24/14 5:24",http://cabellcounty.org/,6/6/13 18:08
cachecounty.org,,County Government,Utah,accepted term,"Cache County, UT -- Note added 8/19/14 5:01",https://www.cachecounty.org/,6/6/13 18:08
caddo.org,,County Government,Louisiana,accepted term,"Caddo Parish, LA -- Note added 8/18/14 18:35",http://www.caddo.org/,6/6/13 18:08
calaverasgov.us,,County Government,California,accepted term,"website of Calaveras County, CA -- Note added 3/5/15 19:22",http://calaverasgov.us/,6/6/13 18:08
caldwellcountync.org,,County Government,North Carolina,accepted term,"caldwell county, NC -- Note added 9/11/15 18:56",http://caldwellcountync.org/,6/6/13 18:08
calhouncotx.org,,County Government,Texas,accepted term,"Calhoun County, TX -- Note added 3/4/15 6:19",http://www.calhouncotx.org/,6/6/13 18:08
calhouncounty.org,,County Government,Alabama,accepted term,"Calhoun County, AL -- Note added 6/12/13 17:21",http://calhouncounty.org/,6/6/13 18:08
camdencounty.com,,County Government,New Jersey,accepted term,"camden county, nj -- Note added 9/15/15 19:09",http://www.camdencounty.com/,6/6/13 18:08
campbellcountyky.org,,County Government,Kentucky,accepted term,"Campbell County, KY -- Note added 3/20/14 17:44",http://campbellcountyky.org/,6/6/13 18:08
canadiancounty.org,,County Government,Oklahoma,accepted term,"Canadian County, OK -- Note added 8/2/13 14:58",http://canadiancounty.org/,6/6/13 18:08
