Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
moraga.ca.us,,,California,,,,6/6/13 18:08,,
moretownvt.com,,Local Government,,,,,8/2/13 15:46,,
morningsun.info,,,Iowa,,,,6/6/13 18:08,,
morongonation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
morro-bay.ca.us,,,California,,,,6/6/13 18:08,,
moscowmillsmo.com,,,Missouri,,,,9/22/15 19:00,,
motorcycleva.com,,,,rejected term,This is no longer the website of MotorcycleVirginia!-- the domain was purchased by an individual and now serves as a private motorcycle travel blog. -- Note added 6/20/14 13:40,,6/6/13 18:08,,
mountain-village.co.us,,Local Government,Colorado,Deprecated,http://mountain-village.co.us redirects to http://townofmountainvillage.com/  -- Note added 8/25/14 17:25,,8/25/14 17:24,,
mountainfair.org,,,,,,,6/6/13 18:08,,
mountaingrove.net,,,Missouri,,,,6/6/13 18:08,,
mountainland.org,,,,rejected term,Mountainland Association of Governments -- Note added 7/23/13 19:33,,6/6/13 18:08,,
mountvernon.org,,,,,,,6/6/13 18:08,,
movolunteers.org,,,Missouri,,,,6/6/13 18:08,,
mpcity.net,,Local Government,Texas,,,,6/6/13 18:08,,
mppdc.com/historical,,,Virginia,,,,6/6/13 18:08,,
msue.msu.edu,,,,Redirected,www.msue.msu.edu redirects to http://msue.anr.msu.edu/  -- Note added 11/19/13 13:43,,11/19/13 13:42,,
mtco.com/~mettwp,,Local Government,Illinois,rejected term,"Metamora Township, IL -- Note added 7/3/14 14:10",,6/6/13 18:08,,
mtcounties.org,,,,rejected term,Montana Assocation of Counties -- Note added 8/2/13 15:31,,8/2/13 15:31,,
mtnlakepark.com,,Local Government,Maryland,rejected term,"Town of Mountain Lake Park, MD -- Note added 7/24/13 14:35",,6/6/13 18:08,,
mtnlakepark.us,,Local Government,Maryland,rejected term,"Town of Mountain Lake Park, MD -- Note added 7/24/13 14:40",http://www.mtnlakepark.us/,7/24/13 14:40,,
mtvernon-cityhall.org,,Local Government,Missouri,,,,6/6/13 18:08,,
murdochcenter.org,,,,,,,6/6/13 18:08,,
murphysboro.com,,Local Government,Illinois,rejected term,"City of Murphysboro, IL -- Note added 7/3/14 14:14",,6/6/13 18:08,,
murphytx.org,,,Texas,,,,6/6/13 18:08,,
murrieta.org,,,California,,,,6/6/13 18:08,,
muscoda.wordpress.com,,,,Redirected,http://muscoda.wordpress.com/ redirects to http://muscoda.com/  -- Note added 4/2/14 12:57,,4/2/14 12:57,,
museumofthealbemarle.com,,,,,,,6/6/13 18:08,,
muttshack.org,,,Louisiana,,,,6/6/13 18:08,,
mybigspring.com,,,Texas,,,,6/6/13 18:08,,
mybossier.com,,,Louisiana,,,,6/6/13 18:08,,
myharlingen.us,,,Texas,,,,6/6/13 18:08,,
mylonglake.com,,,,rejected term,Long Lake (NY) Tourism Department -- Note added 8/2/13 15:21,,8/2/13 15:20,,
myncretirement.com,,,,Redirected,Redirects to https://www.nctreasurer.com/Retirement-And-Savings/Managing-My-Retirement/Pages/default.aspx  -- Note added 11/19/13 13:45,,6/6/13 18:08,,
mywabana.com,,Local Government,,Deprecated,Former township website. See historical snapshot at:  https://web.archive.org/web/20141218035602/http://mywabana.com/ Now resolves at https://sites.google.com/site/wabanatownship/ instead. -- Note added 6/10/15 14:20,,6/10/15 14:19,,
nacarbon.org,,,,,,,11/13/13 17:34,,
nacone.org,,County Government,Nebraska,rejected term,Nebraska Association of County Officials -- Note added 7/23/13 19:31,,6/6/13 18:08,,
nansemond.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
napaimute.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
narragansett-tribe.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
nasa.asee.org,,,,rejected term,NASA Aeronautics Scholarship Program -- Note added 11/10/15 13:41,,6/6/13 18:08,,
nasa.ibiblio.org,,,,rejected term,Domain no longer resolves. -- Note added 6/26/13 15:32,,6/6/13 18:08,,
nasaimages.org,,,,Redirected,Redirects to http://www.dvidshub.net/unit/NASA http://www.dvidshub.net/unit/NASA#.UcsJ6T5AQk8 -- Note added 11/19/13 13:49,,6/6/13 18:08,,
nasasp.org,,NA,,rejected term,National Association of State Agencies for Surplus Property -- Note added 6/26/13 15:37,,6/6/13 18:08,,
nassaubay.com,,,Texas,,,,6/6/13 18:08,,
nationalatlas.net,,Federal Government,,,,,11/13/13 18:28,,
nationalqualitycenter.org,,,,,,,6/17/13 15:44,,
nationalscienceboard.com,,Federal Government,,,,https://nationalscienceboard.com/,4/6/17 13:42,,
navajo.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
navyjobs.com,,,,Redirected,http://www.navyjobs.com/ redirects to http://www.navy.com/?campaign=van_navyjobs  -- Note added 3/9/15 19:02,,3/9/15 19:02,,
nc-cherokee.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ncagexports.com,,,,rejected term,Was part of usagovNC and customerNCgov -- Note added 11/19/13 13:50,,6/6/13 18:08,,
ncagfairs.org,,,,rejected term,North Carolina Association of Agricultural Fairs. See also ncfairs.org. -- Note added 11/12/15 13:50,,6/6/13 18:08,,
ncagfest.com,,,,,,,8/2/13 15:47,,
ncagr.com,,,,rejected term,Redirects to http://www.ncagr.gov/  -- Note added 11/19/13 20:09,,7/26/13 15:39,,
ncalhd.org,,,,rejected term,North Carolina Association of Local Health Directors -- Note added 7/23/13 19:37,,6/6/13 18:08,,
ncatlasrevisited.org,,,,rejected term,The North Carolina Atlas Revisited -- Note added 11/12/15 15:05,,6/6/13 18:08,,
nccancer.com,,,,rejected term,"NC Comprehensive Cancer Program, NC DPH -- Note added 11/12/15 14:56",,6/6/13 18:08,,
ncchildcare.net,,,,rejected term,Redirects to http://ncchildcare.nc.gov/general/home.asp  -- Note added 11/19/13 18:50,,6/6/13 18:08,,
ncdot.org,,,,rejected term,Redirects to http://www.ncdot.gov/  -- Note added 11/19/13 18:55,,6/6/13 18:08,,
ncecho.org,,State Government,North Carolina,rejected term,North Carolina Exploring Cultural Heritage Online (NC ECHO) was an innovative and far-reaching program housed at the State Library of North Carolina from 1999 to 2012 -- Note added 11/12/15 13:55,http://ncecho.org/,6/6/13 18:09,,
nceep.net,,,,Redirected,Resolves at http://portal.ncdenr.org/web/eep (www.nceep.net redirects to this URL). -- Note added 7/24/13 16:26,,6/6/13 18:08,,
ncei.org,,,,rejected term,"North Carolina Early Intervention , NC Division of Public Health -- Note added 7/26/13 15:37",,6/6/13 18:08,,
ncesc.com,,,,,,,6/6/13 18:08,,
ncfairs.org,,,,rejected term,See also http://ncagfairs.org/ record at http://govt-urls.usa.gov/tematres/vocab/index.php?_search_expresion=ncagfairs.org  -- Note added 11/12/15 13:52,,8/2/13 15:49,,
ncferry.org,,,,rejected term,Redirects to http://www.ncdot.gov/ferry/  -- Note added 11/19/13 18:53,,6/6/13 18:08,,
ncfriendsofagriculture.org,,State Government,North Carolina,rejected term,NC Friends of Agriculture Foundation (see also NC State Fair) -- Note added 11/12/15 13:37,,6/6/13 18:08,,
ncfy.com,,,,rejected term,National Clearinghouse on Families and Youth -- Note added 1/23/14 18:09,,1/23/14 18:08,,
nchealthystart.org,,,,rejected term,"North Carolina Healthy Start Foundation, a private, nonprofit organization dedicated to reducing infant death and illness and to improving the health of women and young children in North Carolina. -- Note added 11/12/15 13:35",,6/6/13 18:08,,
nchistoryday.org,,,,rejected term,"North Carolina History Day, a program designed to promote interest in history among students and to assist teachers in teaching history more effectively -- Note added 11/12/15 13:26",,6/6/13 18:08,,
ncicu.org,,,,rejected term,North Carolina Independent Colleges and Universities -- Note added 11/12/15 13:24,,6/6/13 18:09,,
ncicx.us,,,,rejected term,Redirects to https://www.intelink.gov/my.policy.  -- Note added 9/26/14 18:05,,9/26/14 18:04,,
ncinvasivespecies.org,,,,rejected term,Redirects to http://www.ncagr.gov/index.htm  -- Note added 11/19/13 19:48,,6/6/13 18:08,,
ncmaritime.org,,,,,,,8/2/13 15:50,,
ncmuseumofhistory.org,,,,rejected term,"North Carolina Museum of History, North Carolina Department of Cultural Resources -- Note added 7/19/13 18:30",,6/6/13 18:09,,
ncptsc.org,,,,rejected term,North Carolina Professional Teaching Standards Commission -- Note added 1/22/14 19:13,,6/6/13 18:08,,
ncsafekids.org,,,,Redirected,Redirects to http://ncdoi.com/OSFM/SafeKids/  -- Note added 11/19/13 20:05,,6/6/13 18:08,,
ncstatesurplus.com,,State Government,North Carolina,rejected term,North Carolina State Surplus Property -- Note added 11/12/15 13:05,,6/6/13 18:08,,
ncstrokeregistry.com,,,,rejected term,"North Carolina Stroke Care Collaborative - As one of the Paul Coverdell National Acute Stroke Registries, the North Carolina Stroke Care Collaborative (NCSCC) is part of a national effort to reduce the incidence of death and disability caused by stroke. -- Note added 11/12/15 13:04",,6/6/13 18:08,,
ncturnpike.org,,,,rejected term,Redirects to http://www.ncdot.gov/turnpike/  -- Note added 11/19/13 19:04,,6/6/13 18:08,,
ncvdl.com,,,,rejected term,Redirects to http://www.ncagr.gov/vet/ncvdl/  -- Note added 11/19/13 20:07,,6/6/13 18:08,,
ncveterans.com,,,,rejected term,North Carolina Veterans Affairs -- Note added 11/12/15 13:01,,6/6/13 18:08,,
ncwiseowl.org,,,North Carolina,,,,6/6/13 18:08,,
ndaco.org,,,,rejected term,North Dakota Association of Counties -- Note added 7/23/13 19:30,,6/6/13 18:08,,
nebraskamep.com,,,,Redirected,Redirects to http://neded.org/business/existing-business/manufacturing-assistance  -- Note added 12/6/13 19:57,,12/6/13 19:57,,
neguard.com,,,,rejected term,Nebraska National Guard -- Note added 12/6/13 19:59,,12/6/13 19:58,,
nelsoncounty.com,,County Government,Virginia,rejected term,"Nelson County, VA -- Note added 11/19/13 20:10",,6/6/13 18:08,,
nemaha.kansasgov.com,,,,,,,2/11/14 20:06,,
neoshomo.org,,,Missouri,,,,6/6/13 18:08,,
nevadamo.org,,,Missouri,,,,6/6/13 18:08,,
new-carrollton.md.us,,Local Government,Maryland,rejected term,"City of New Carrollton, MD -- Note added 7/26/13 14:59",,6/6/13 18:08,,
new-madrid.mo.us,,,Missouri,,,,6/6/13 18:08,,
newark.org,,,California,,,,6/6/13 18:08,,
newarktexas.com,,,Texas,,,,6/6/13 18:08,,
newcastle-ny.org,,,New York,,,,6/6/13 18:08,,
newcastlecity.net,,Local Government,Delaware,rejected term,"Domain doesn't resolve - website for the City of New Castle, DE, is newcastlecity.delaware.gov -- Note added 6/7/13 17:20",,6/6/13 18:08,,
newcastlewyoming.net,,Local Government,Wyoming,rejected term,"Official website for the City of Newcastle, WY, is www.newcastlewyoming.org -- Note added 6/7/13 15:56",,6/6/13 18:08,,
newflorencemo.com,,,Missouri,,,,9/22/15 19:02,,
newhavenmo.org,,,Missouri,,,,6/6/13 18:08,,
newhavenny.com,,,New York,,,,6/6/13 18:08,,
newhire-reporting.com/in-newhire,,,,,,,11/12/15 12:45,,
newhire-reporting.com/md-newhire,,,,,,,11/12/15 12:42,,
newhire-reporting.com/nc-newhire,,,,,,,11/12/15 12:42,,
newhire-reporting.com/nm-newhire,,,,,,,11/12/15 12:45,,
newhire-reporting.com/oh-newhire,,,,,,,11/12/15 12:45,,
newhire-reporting.com/tn-newhire,,,,,,,11/12/15 12:45,,
newhire-reporting.com/wy-newhire,,,,,,,11/12/15 12:45,,
newkensington.org,,,,,,,11/20/13 12:55,,
newmeadowsidaho.org,,,,,,,7/8/13 19:19,,
newmelle.org,,,Missouri,,,,6/6/13 18:08,,
newtonchamberofcommerce.com,,,,rejected term,Newton (MS) Chamber of Commerce -- Note added 7/31/13 13:15,,6/6/13 18:08,,
newtontexas.org,,,Texas,,,,6/6/13 18:08,,
nezperce.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
nga.org,,,,rejected term,National Governors Association -- Note added 6/26/13 15:45,,6/6/13 18:08,,
nhic.org,,,,rejected term,"National Health Information Center (NHIC) is a health information referral service. NHIC links people to organizations that provide reliable health information. NHIC was established in 1979 by the Office of Disease Prevention and Health Promotion (ODPHP), Office of Public Health and Science, Office of the Secretary, U.S. Department of Health and Human Services. -- Note added 1/10/14 19:12",,1/10/14 19:11,,
nianet.org,,,,rejected term,National Institute of Aerospace - NIA is a non-profit research and graduate education institute -- Note added 6/26/13 15:46,,6/6/13 18:08,,
nibleycity.com,,Local Government,Utah,,,http://nibleycity.com/,6/6/13 18:08,,
nihb.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
nisland.govoffice2.com,,Local Government,South D,rejected term,"Town of Nisland, SD -- Note added 3/21/14 19:42",,6/6/13 18:09,,
nixa.com,,,Missouri,,,,6/6/13 18:08,,
njlottery.net,,State Government,New Jersey,rejected term,New Jersey Lottery - redirects to http://www.state.nj.us/lottery/home.shtml -- Note added 6/12/13 14:20,,6/12/13 14:19,,
njslom.com,,State Government,New Jersey,rejected term,New Jersey State League of Municipalities -- Note added 11/19/13 20:20,,11/19/13 20:19,,
njslom.org,,State Government,New Jersey,rejected term,New Jersey State League of Municipalities -- Note added 11/19/13 20:20,,6/6/13 18:08,,
njtransit.com,,,,rejected term,New Jersey Transit -- Note added 7/8/14 12:18,,6/6/13 18:08,,
nkc.org,,,Missouri,,,,6/6/13 18:08,,
nmcounties.org,,,,rejected term,New Mexico Association of Counties -- Note added 7/8/13 16:55,,6/6/13 18:08,,
nmcourt.fed.us,,Federal Government,,,,,6/10/15 13:08,,
nmfs.hawaii.edu,,,,rejected term,The PIFSC website is now http://www.pifsc.noaa.gov.  -- Note added 3/24/14 16:02,,11/13/13 16:45,,
nmml.org,,,,rejected term,New Mexico Municipal League -- Note added 7/17/13 17:14,,6/6/13 18:08,,
noattacks.org,,,,,,,12/23/16 21:07,,
noattacks.org,,,,,,,12/23/16 21:05,,
nobleboro.govoffice2.com,,,,rejected term,Redirects to nobleboro.maine.gov so entry no longer needed -- Note added 7/22/13 15:46,,6/6/13 18:09,,
nobleco.org,,,,Redirected,Redirects to http://nobleco.squarespace.com/  -- Note added 3/20/14 16:49,,3/20/14 16:49,,
nojack.net,,,,Redirected,Redirects to http://safemt.com/nojack/  -- Note added 11/18/13 16:36,,11/18/13 16:36,,
nooksack-tribe.org,,,,,,,8/2/13 15:54,,
norco.ca.us,,County Government,California,,,,6/6/13 18:08,,
norfolkny.us,,,,,,,11/10/15 13:38,,
northcantonohio.com,,Local Government,Ohio,rejected term,"City of North Canton, OH -- Note added 7/26/13 14:57",,6/6/13 18:08,,
northernarapaho.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
northforkrancheria.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
northfranklintownship.com,,Local Government,,,,,11/10/15 13:30,,
northogdencity.com,,Local Government,Utah,,,,6/6/13 18:08,,
northsyracuse.org,,,New York,,,,6/6/13 18:08,,
northvilleny.com,,Local Government,,rejected term,Northville (NY) Civic Association -- Note added 7/23/13 19:20,,6/6/13 18:09,,
norwichnewyork.net,,,New York,,,,6/6/13 18:08,,
novatosan.com,,,California,,,,6/6/13 18:08,,
npaihb.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
npwd.org,,,Texas,,,,6/6/13 18:08,,
nrhtx.com,,,Texas,,,,6/6/13 18:09,,
nsd.us,,,California,,,,6/6/13 18:08,,
nslcity.org,,Local Government,Utah,,,,6/6/13 18:08,,
ntta.org,,,Texas,,,,6/6/13 18:08,,
nueces-ra.org,,,Texas,,,,6/6/13 18:08,,
nvdetr.org,,,Nevada,,,,6/6/13 18:08,,
nveyak.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
nwsds.org,,,,rejected term,"NorthWest Senior and Disability Services, a local intergovernmental agency serving seniors and people with disabilities in Clatsop, Marion, Polk, Tillamook, and Yamhill counties. -- Note added 7/23/14 14:45",http://www.nwsds.org/,6/6/13 18:08,,
nyecounty.net,,County Government,Nevada,,,,6/6/13 18:08,,
nylottery.org,,,,rejected term,New York Lottery - redirects to http://nylottery.ny.gov/ -- Note added 6/12/13 14:21,,6/6/13 18:08,,
nypwa.com,,,,rejected term,New York Public Welfare Association -- Note added 7/23/13 19:30,,6/6/13 18:08,,
nysclerks.com,,Local Government,New York,rejected term,New York State Association of City and Village Clerks -- Note added 7/23/13 19:39,,6/6/13 18:08,,
nysdmv.com,,,New York,,,,6/6/13 18:08,,
nyserda.org,,State Government,New York,rejected term,New York State Energy Research and Development Authority -- Note added 7/26/13 14:09,,6/6/13 18:08,,
oakesnd.com,,,North Dakota,,,,6/6/13 18:08,,
oaklandmo.org,,,Missouri,,,,6/6/13 18:08,,
oaklandnet.com,,,California,,,,6/6/13 18:08,,
oakleycity.com,,Local Government,Utah,,,,6/6/13 18:08,,
oaklyn-nj.com,,,,Redirected,Redirects to http://www.oaklyn-nj.net/  -- Note added 11/20/13 12:57,,11/20/13 12:56,,
oakridgenorth.com,,,Texas,,,,6/6/13 18:08,,
oakridgetenn.org,,Local Government,Tennessee,rejected term,"City of Oak Ridge, TN -- Note added 7/26/13 14:08",,6/6/13 18:08,,
occourts.org,,,California,,,,6/6/13 18:08,,
oceancountygov.com,,County Government,New Jersey,,,http://www.co.ocean.nj.us/,6/6/13 18:08,,
oceansprings.org,,,,,,,6/6/13 18:08,,
oconomowocusa.com,,Local Government,Wisconsin,rejected term,"City of Oconomowoc, WI -- Note added 7/26/13 14:07",,6/6/13 18:08,,
odessadelaware.com,,Local Government,Delaware,rejected term,"Town of Odessa, DE -- Note added 6/7/13 17:21",,6/6/13 18:08,,
odumgeorgia.com,,,Georgia,,,,6/6/13 18:08,,
ofallon.mo.us,,,Missouri,,,,6/6/13 18:08,,
ogdencity.com,,Local Government,Utah,,,,6/6/13 18:08,,
ogdensburgnj.org,,,New Jersey,,,,6/6/13 18:08,,
ohiohistory.org,,,,rejected term,Ohio Historical Society -- Note added 7/26/13 17:43,,6/6/13 18:08,,
ohioline.osu.edu,,,,,,,6/6/13 18:08,,
ohs.headstartinfo.org,,,,rejected term,Office of Head Start - doesn't resolve. Content now appears to be at http://eclkc.ohs.acf.hhs.gov/. -- Note added 6/14/13 19:27,,6/6/13 18:08,,
oliverspringscity.com,,Local Government,Tennessee,rejected term,"Town of Oliver Springs, TN -- Note added 3/20/14 16:51",,6/6/13 18:08,,
olivettemo.com,,,Missouri,,,,6/6/13 18:08,,
olmstedtownship.org,,Local Government,Ohio,,,,6/6/13 18:08,,
oml.org,,,,rejected term,Oklahoma Municipal League -- Note added 7/17/13 17:15,,6/6/13 18:08,,
on54.com,,,Missouri,,,,6/6/13 18:08,,
oneidanation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
onondaganation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ontariocc.com,,,California,,,,6/6/13 18:08,,
orangetexas.net,,,Texas,,,,6/6/13 18:08,,
orcities.org,,,,rejected term,League of Oregon Cities -- Note added 7/8/13 18:56,,6/6/13 18:08,,
oregongeology.com,,,Oregon,,,,6/6/13 18:08,,
oregonstatelands.us,,State Government,Oregon,rejected term,Oregon Department of State Lands -- Note added 11/19/13 20:54,,6/6/13 18:08,,
orem.org,,,Utah,,,,6/6/13 18:08,,
oronocotownship.com,,Local Government,Minnesota,rejected term,"Oronoco Township, MN -- Note added 6/10/15 14:24",,6/6/13 18:08,,
ortonville.net,,Local Government,,Deprecated,Former city website. See historical snapshot at: https://web.archive.org/web/20111229024043/http://www.ortonville.net/ Now directs visitors to the new city website at www.cityofortonville.com.  -- Note added 6/10/15 14:33,,6/10/15 14:32,,
osagebeach.org,,Local Government,Missouri,rejected term,"City of Osage Beach, MO -- Note added 7/26/13 13:59",,6/6/13 18:08,,
osagecity.com,,Local Government,Kansas,,,,6/6/13 18:08,,
osagenation.co,,,,rejected term,"Osage Nation, Pawhuska, OK nFormerly resolved at http://www.osagenation.co  and osagetribe.com  nNew website is https://www.osagenation-nsn.gov/  -- Note added 11/10/15 13:20",,11/10/15 13:20,,
osagetribe.com,,,,rejected term,"Osage Nation, Pawhuska, OK nFormerly resolved at http://www.osagenation.co/ and osagetribe.com New website is https://www.osagenation-nsn.gov/ -- Note added 11/10/15 13:19",,6/6/13 18:08,,
osbar.org,,State Government,Oregon,rejected term,Oregon State Bar -- Note added 6/20/14 7:30,http://www.osbar.org/index.html,6/6/13 18:08,,
osceolamo.org,,,Missouri,,,,6/6/13 18:08,,
othellowashington.us,,Local Government,Washington,rejected term,"City of Othello, WA -- Note added 11/10/15 18:28",,11/10/15 18:27,,
otscweb.tamu.edu,,,Texas,,,,6/6/13 18:08,,
ottawakansas.net,,,,rejected term,Redirects to ottawaks.gov -- Note added 7/25/13 19:29,,6/6/13 18:08,,
ottawatribe.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ourpublicservice.org,,,,rejected term,"Partnership for Public Service is a nonprofit, nonpartisan organization that 'works to revitalize our federal government by inspiring a new generation to serve and by transforming the way government works.' -- Note added 6/26/13 15:59",,6/6/13 18:08,,
overlandmo.org,,,Missouri,,,,6/6/13 18:08,,
overtoncountytn.com,,County Government,Texas,,,,6/6/13 18:08,,
oxford-ct.com,,Local Government,Connecticut,rejected term,"Town of Oxford, CT -- Note added 12/16/14 7:12",http://www.oxford-ct.gov/,6/6/13 18:08,,
oxfordnj.org,,Local Government,New Jersey,Deprecated,Former township website. See historical snapshot at: http://web.archive.org/web/20120125033212/http://www.oxfordnj.org/  -- Note added 3/20/14 16:55,,3/20/14 16:55,,
oxnardsd.org,,,California,,,,6/6/13 18:08,,
oycp.com,,,,rejected term,Oregon Youth ChalleNGe Program (National Guard) -- Note added 1/23/14 13:56,,1/23/14 13:55,,
oysterbaycove.net,,,New York,,,,6/6/13 18:08,,
ozarkmissouri.com,,,Missouri,,,,6/6/13 18:08,,
pacificmissouri.com,,,Missouri,,,,6/6/13 18:08,,
pacouncilonthearts.org,,,,rejected term,PA Council on the Arts nNow resolves at http://www.arts.pa.gov/  -- Note added 11/10/15 20:09,,11/10/15 20:09,,
pacounties.org,,County Government,Pennsylvania,rejected term,County Commissioners Association of Pennsylvania -- Note added 7/8/13 16:56,,6/6/13 18:08,,
padmv.org,,,,rejected term,"'(c) 2002 ALL RIGHTS RESERVED,(This WEB SITE designed by a penndot authorized Full Agent &amp; Online Messenger aka penndot partner.) Not affiliated with THE COMMONWEALTH OF PA or PENNDOT'S OFFICIAL WEBSITE.' -- Note added 9/22/15 20:10",,6/6/13 18:08,,
pagend.com,,,North Dakota,,,,6/6/13 18:08,,
pagnet.org,,,,rejected term,Pima (Arizona) Association of Governments -- Note added 7/23/13 19:40,,6/6/13 18:08,,
pahrumpnv.org,,,Nevada,,,,6/6/13 18:08,,
palatribe.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
palaugov.net,,,,Redirected,http://www.palaugov.net/ redirects to http://palaugov.org/  -- Note added 5/27/14 15:01,,5/27/14 15:01,,
palmbeach.govoffice.com,,Local Government,Florida,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20130509044757/http://www.palmbeach.govoffice.com/  -- Note added 3/21/14 19:49,,3/21/14 19:48,,
palmdalesd.org,,,California,,,,6/6/13 18:08,,
palmyrany.com,,,New York,,,,6/6/13 18:08,,
palosverdes.com/rpv,,,California,,,,6/6/13 18:08,,
palottery.com,,,,rejected term,Pennsylvania Lottery -- Note added 7/17/13 18:37,,6/12/13 14:23,,
panguitch.org,,,Utah,,,,6/6/13 18:08,,
pantex.com,,Federal Government,,Duplicate?,,,4/18/17 20:55,,
paramountcity.com,,Local Government,California,,,,6/6/13 18:08,,
parishvilleny.us,,Local Government,New York,,,,6/6/13 18:08,,
parismo.net,,,Missouri,,,,6/6/13 18:08,,
parkcity.org,,Local Government,Utah,,,,6/6/13 18:08,,
parkercity.org,,Local Government,Pennsylvania,rejected term,"City of Parker, PA -- Note added 9/22/15 16:45",,6/6/13 18:08,,
parkersburg-wv.com,,,,,,,11/20/13 13:08,,
parkertexas.us,,,Texas,,,,6/6/13 18:09,,
parkesburg.boroughs.org,,,,,,,3/20/14 16:56,,
parkhillsmo.net,,,Missouri,,,,6/6/13 18:08,,
parkrivernd.govoffice2.com,,,North Dakota,,,,6/6/13 18:09,,
parkvillemo.com,,Local Government,Missouri,rejected term,"City of Parkville, MO -- Note added 7/25/13 19:28",,6/6/13 18:08,,
parlier.ca.us,,,California,,,,6/6/13 18:08,,
parshallnd.com,,,North Dakota,,,,6/6/13 18:08,,
patreasury.org,,State Government,Pennsylvania,rejected term,PA State Treasurer -- Note added 6/7/13 11:53,,6/7/13 11:53,,
pawneenation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
payette.govoffice.com,,,,,,,7/8/13 19:21,,
paysonutah.org,,,Utah,,,,6/6/13 18:08,,
pbgc.com,,,,rejected term,Pension Benefit Guaranty Corporation. This .com domain redirects to http://www.pbgc.gov/.  -- Note added 11/13/13 15:11,,11/13/13 15:10,,
pbpindiantribe.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
pdcc.org,,,,rejected term,Palm Desert Chamber of Commerce -- Note added 7/23/13 13:20,,6/6/13 18:08,,
peacham.net,,Local Government,,rejected term,"Unofficial, community website. Note on the homepage states, 'Official Information including meeting agendas and minutes are located at http://www.peachamblog.blogspot.com/ the official Peacham Town website The Town of Peacham does not provide funds for peacham.net.' -- Note added 11/21/14 16:08",,11/21/14 16:07,,
pekinnd.com,,,North Dakota,,,,6/6/13 18:08,,
pelhammanor.org,,,New York,,,,6/6/13 18:08,,
pelhamny.com,,NA,,rejected term,Real estate website - Official town website is http://www.townofpelham.com/ -- Note added 7/15/13 18:15,,6/6/13 18:08,,
pelicanak.govoffice2.com,,Local Government,Alaska,rejected term,"Domain returns a 404 error. Pelican.net (the Pelican, AK, Chamber of Commerce website) contains a link to a page for the city government. -- Note added 6/12/13 16:45",,6/6/13 18:09,,
pembina.govoffice.com,,,North Dakota,,,,6/6/13 18:09,,
penobscotnation.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
peoriaaz.com,,Local Government,Arizona,rejected term,"City of Peoria, AZ -- Note added 11/19/13 20:55",,6/6/13 18:08,,
peoriatribe.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
perrycity.org,,Local Government,Utah,,,,6/6/13 18:08,,
perrycountymo.us,,County Government,Missouri,,,,6/6/13 18:09,,
perrycountytennessee.com,,County Government,Tennessee,rejected term,Perry County (TN) Chamber of Commerce -- Note added 7/17/14 17:05,,6/6/13 18:08,,
perrytwp.com,,,Ohio,,,,6/6/13 18:08,,
perryvillemo.com,,Local Government,Missouri,,,,6/6/13 18:08,,
pershingcounty.net,,County Government,Nevada,,,,6/6/13 18:08,,
perutown.com,,Local Government,New York,,,,6/6/13 18:08,,
phelpscounty.org,,County Government,Missouri,,,,6/6/13 18:08,,
phoenixoregon.net,,Local Government,Oregon,Now uses .gov domain,"City of Phoenix, OR -- Note added 6/20/14 7:16",http://phoenixoregon.net/,6/6/13 18:08,,
pickcitynd.com,,Local Government,North Dakota,,,,6/6/13 18:08,,
pico-rivera.org,,,California,,,,6/6/13 18:08,,
pinegroveca.com,,,California,,,,6/6/13 18:08,,
pioneer-library.org,,,,,,,6/12/13 16:16,,
pittsfield-ma.org,,,,,,,11/19/13 20:20,,
piute.org,,,Utah,,,,6/6/13 18:08,,
placentia.org,,,California,,,,6/6/13 18:08,,
plainfieldvt.us,,,Vermont,,,http://plainfieldvt.us/,6/6/13 18:08,,
plainviewtx.org,,,Texas,,,,6/6/13 18:09,,
plandomevillage.com,,Local Government,New York,,,,6/6/13 18:08,,
planotx.org,,Local Government,Texas,rejected term,"City of Plano, TX -- Note added 7/25/13 19:24",,6/6/13 18:08,,
pleasanthill.com,,,Missouri,,,,6/6/13 18:08,,
pleasanthillrec.com,,,California,,,,6/6/13 18:08,,
